id,stateabb,ccode,year
718,CYP,352,1965
719,CYP,352,1970
720,CYP,352,1975
721,CYP,352,1980
722,CYP,352,1985
723,CYP,352,1990
724,CYP,352,1995
725,CYP,352,2000
726,CYP,352,2005
727,CYP,352,2010
728,BUL,355,1945
729,BUL,355,1950
730,BUL,355,1955
731,BUL,355,1960
732,BUL,355,1965
733,BUL,355,1970
734,BUL,355,1975
735,BUL,355,1980
736,BUL,355,1985
737,BUL,355,1990
738,BUL,355,1995
739,BUL,355,2000
740,BUL,355,2005
741,BUL,355,2010
742,MLD,359,1995
743,MLD,359,2000
744,MLD,359,2005
745,MLD,359,2010
746,ROM,360,1945
747,ROM,360,1950
748,ROM,360,1955
749,ROM,360,1960
750,ROM,360,1965
751,ROM,360,1970
752,ROM,360,1975
753,ROM,360,1980
754,ROM,360,1985
755,ROM,360,1990
756,ROM,360,1995
757,ROM,360,2000
758,ROM,360,2005
759,ROM,360,2010
760,RUS,365,1945
761,RUS,365,1950
762,RUS,365,1955
763,RUS,365,1960
764,RUS,365,1965
765,RUS,365,1970
766,RUS,365,1975
767,RUS,365,1980
768,RUS,365,1985
769,RUS,365,1990
770,RUS,365,1995
771,RUS,365,2000
772,RUS,365,2005
773,RUS,365,2010
774,EST,366,1995
775,EST,366,2000
776,EST,366,2005
777,EST,366,2010
778,LAT,367,1995
779,LAT,367,2000
780,LAT,367,2005
781,LAT,367,2010
782,LIT,368,1995
783,LIT,368,2000
784,LIT,368,2005
785,LIT,368,2010
786,UKR,369,1995
787,UKR,369,2000
788,UKR,369,2005
789,UKR,369,2010
790,BLR,370,1995
791,BLR,370,2000
792,BLR,370,2005
793,BLR,370,2010
794,ARM,371,1995
795,ARM,371,2000
796,ARM,371,2005
797,ARM,371,2010
798,GRG,372,1995
799,GRG,372,2000
800,GRG,372,2005
801,GRG,372,2010
802,AZE,373,1995
803,AZE,373,2000
804,AZE,373,2005
805,AZE,373,2010
806,FIN,375,1945
807,FIN,375,1950
808,FIN,375,1955
809,FIN,375,1960
810,FIN,375,1965
811,FIN,375,1970
812,FIN,375,1975
813,FIN,375,1980
814,FIN,375,1985
815,FIN,375,1990
816,FIN,375,1995
817,FIN,375,2000
818,FIN,375,2005
819,FIN,375,2010
820,SWD,380,1945
821,SWD,380,1950
822,SWD,380,1955
823,SWD,380,1960
824,SWD,380,1965
825,SWD,380,1970
826,SWD,380,1975
827,SWD,380,1980
828,SWD,380,1985
